id,title,start_page,end_page,image_count
1,article_1,1,1,1
2,Monitor’s Map ,2,2,2
3,"Exploring New Worlds: Insights, Diversity, and Conversations",3,3,1
4,"Jaffna Land Released, Thousands of Acres Await Return Partial Homecoming :",4,5,3
5,From Ousted President to Author: Gotabaya Rajapaksa's Version of History,6,7,3
6,Anton Master Speaks:,8,15,9
7,A Symphony of Solace,16,23,8
8,Monitor Memo,24,24,1
9,Who is the Traitor?,25,35,13
10,Heavy Tax on Feminine Hygiene: Sri Lanka's Critical Challenge,36,36,1
11,"A recent study by the independent think tank Advocata has highlighted the undue financial strain placed on women in Sri Lanka due to current taxation policies. These findings come at a critical time as the country undergoes a review of its bailout program by the International Monetary Fund (IMF), with the delegation including female members, underlining the issue's significance.",37,47,5
12,Voice of the Reader,48,49,0
